qhat,theta,n_safe,n_uncertain,n_risk,frac_safe,frac_uncertain,frac_risk
0.0167821266830525,1.4,132,2,10,0.9166666666666666,0.013888888888888888,0.06944444444444445
0.0167821266830525,1.45,102,9,33,0.7083333333333334,0.0625,0.22916666666666666
0.0167821266830525,1.5,70,14,60,0.4861111111111111,0.09722222222222222,0.4166666666666667
0.030170622463796,1.4,125,9,10,0.8680555555555556,0.0625,0.06944444444444445
0.030170622463796,1.45,95,16,33,0.6597222222222222,0.1111111111111111,0.22916666666666666
0.030170622463796,1.5,50,34,60,0.3472222222222222,0.2361111111111111,0.4166666666666667
0.0203263793060968,1.4,128,6,10,0.8888888888888888,0.041666666666666664,0.06944444444444445
0.0203263793060968,1.45,101,10,33,0.7013888888888888,0.06944444444444445,0.22916666666666666
0.0203263793060968,1.5,63,21,60,0.4375,0.14583333333333334,0.4166666666666667
0.0268311646905927,1.4,126,8,10,0.875,0.05555555555555555,0.06944444444444445
0.0268311646905927,1.45,99,12,33,0.6875,0.08333333333333333,0.22916666666666666
0.0268311646905927,1.5,54,30,60,0.375,0.20833333333333334,0.4166666666666667
0.0246407010494025,1.4,126,8,10,0.875,0.05555555555555555,0.06944444444444445
0.0246407010494025,1.45,99,12,33,0.6875,0.08333333333333333,0.22916666666666666
0.0246407010494025,1.5,58,26,60,0.4027777777777778,0.18055555555555555,0.4166666666666667
0.0096312136672467,1.4,133,1,10,0.9236111111111112,0.006944444444444444,0.06944444444444445
0.0096312136672467,1.45,107,4,33,0.7430555555555556,0.027777777777777776,0.22916666666666666
0.0096312136672467,1.5,77,7,60,0.5347222222222222,0.04861111111111111,0.4166666666666667
0.0161676711544263,1.4,132,2,10,0.9166666666666666,0.013888888888888888,0.06944444444444445
0.0161676711544263,1.45,102,9,33,0.7083333333333334,0.0625,0.22916666666666666
0.0161676711544263,1.5,71,13,60,0.4930555555555556,0.09027777777777778,0.4166666666666667
0.0462104658609043,1.4,117,17,10,0.8125,0.11805555555555555,0.06944444444444445
0.0462104658609043,1.45,88,23,33,0.6111111111111112,0.1597222222222222,0.22916666666666666
0.0462104658609043,1.5,22,62,60,0.1527777777777778,0.4305555555555556,0.4166666666666667
0.0351841912520332,1.4,120,14,10,0.8333333333333334,0.09722222222222222,0.06944444444444445
0.0351841912520332,1.45,92,19,33,0.6388888888888888,0.13194444444444445,0.22916666666666666
0.0351841912520332,1.5,39,45,60,0.2708333333333333,0.3125,0.4166666666666667
0.0189037028159384,1.4,128,6,10,0.8888888888888888,0.041666666666666664,0.06944444444444445
0.0189037028159384,1.45,101,10,33,0.7013888888888888,0.06944444444444445,0.22916666666666666
0.0189037028159384,1.5,65,19,60,0.4513888888888889,0.13194444444444445,0.4166666666666667
0.0118989192007248,1.4,133,1,10,0.9236111111111112,0.006944444444444444,0.06944444444444445
0.0118989192007248,1.45,105,6,33,0.7291666666666666,0.041666666666666664,0.22916666666666666
0.0118989192007248,1.5,73,11,60,0.5069444444444444,0.0763888888888889,0.4166666666666667
0.0115090820175762,1.4,133,1,10,0.9236111111111112,0.006944444444444444,0.06944444444444445
0.0115090820175762,1.45,105,6,33,0.7291666666666666,0.041666666666666664,0.22916666666666666
0.0115090820175762,1.5,73,11,60,0.5069444444444444,0.0763888888888889,0.4166666666666667
0.0322926886200101,1.4,124,10,10,0.8611111111111112,0.06944444444444445,0.06944444444444445
0.0322926886200101,1.45,94,17,33,0.6527777777777778,0.11805555555555555,0.22916666666666666
0.0322926886200101,1.5,46,38,60,0.3194444444444444,0.2638888888888889,0.4166666666666667
0.0218893995032081,1.4,127,7,10,0.8819444444444444,0.04861111111111111,0.06944444444444445
0.0218893995032081,1.45,99,12,33,0.6875,0.08333333333333333,0.22916666666666666
0.0218893995032081,1.5,61,23,60,0.4236111111111111,0.1597222222222222,0.4166666666666667
0.0196656215112247,1.4,128,6,10,0.8888888888888888,0.041666666666666664,0.06944444444444445
0.0196656215112247,1.45,101,10,33,0.7013888888888888,0.06944444444444445,0.22916666666666666
0.0196656215112247,1.5,64,20,60,0.4444444444444444,0.1388888888888889,0.4166666666666667
0.0212576072990553,1.4,127,7,10,0.8819444444444444,0.04861111111111111,0.06944444444444445
0.0212576072990553,1.45,100,11,33,0.6944444444444444,0.0763888888888889,0.22916666666666666
0.0212576072990553,1.5,63,21,60,0.4375,0.14583333333333334,0.4166666666666667
0.0155065995059076,1.4,132,2,10,0.9166666666666666,0.013888888888888888,0.06944444444444445
0.0155065995059076,1.45,103,8,33,0.7152777777777778,0.05555555555555555,0.22916666666666666
0.0155065995059076,1.5,72,12,60,0.5,0.08333333333333333,0.4166666666666667
0.0159977111377398,1.4,132,2,10,0.9166666666666666,0.013888888888888888,0.06944444444444445
0.0159977111377398,1.45,103,8,33,0.7152777777777778,0.05555555555555555,0.22916666666666666
0.0159977111377398,1.5,71,13,60,0.4930555555555556,0.09027777777777778,0.4166666666666667
0.0200768965228692,1.4,128,6,10,0.8888888888888888,0.041666666666666664,0.06944444444444445
0.0200768965228692,1.45,101,10,33,0.7013888888888888,0.06944444444444445,0.22916666666666666
0.0200768965228692,1.5,63,21,60,0.4375,0.14583333333333334,0.4166666666666667
0.021843364015361,1.4,127,7,10,0.8819444444444444,0.04861111111111111,0.06944444444444445
0.021843364015361,1.45,99,12,33,0.6875,0.08333333333333333,0.22916666666666666
0.021843364015361,1.5,62,22,60,0.4305555555555556,0.1527777777777778,0.4166666666666667
0.0300361409187694,1.4,125,9,10,0.8680555555555556,0.0625,0.06944444444444445
0.0300361409187694,1.45,95,16,33,0.6597222222222222,0.1111111111111111,0.22916666666666666
0.0300361409187694,1.5,50,34,60,0.3472222222222222,0.2361111111111111,0.4166666666666667
0.0214724132535866,1.4,127,7,10,0.8819444444444444,0.04861111111111111,0.06944444444444445
0.0214724132535866,1.45,100,11,33,0.6944444444444444,0.0763888888888889,0.22916666666666666
0.0214724132535866,1.5,63,21,60,0.4375,0.14583333333333334,0.4166666666666667
0.0181011453334725,1.4,128,6,10,0.8888888888888888,0.041666666666666664,0.06944444444444445
0.0181011453334725,1.45,101,10,33,0.7013888888888888,0.06944444444444445,0.22916666666666666
0.0181011453334725,1.5,66,18,60,0.4583333333333333,0.125,0.4166666666666667
0.0125735657327026,1.4,133,1,10,0.9236111111111112,0.006944444444444444,0.06944444444444445
0.0125735657327026,1.45,103,8,33,0.7152777777777778,0.05555555555555555,0.22916666666666666
0.0125735657327026,1.5,72,12,60,0.5,0.08333333333333333,0.4166666666666667
0.024440820012598,1.4,126,8,10,0.875,0.05555555555555555,0.06944444444444445
0.024440820012598,1.45,99,12,33,0.6875,0.08333333333333333,0.22916666666666666
