region,target,sample_id,time_s,time_yr,true,pred,ci_lower,ci_upper
cell_2,atoms_H3,20,264894494.4,8.399749315068494,1.49426e+17,1.4865731284118496e+17,1.4654137491892406e+17,1.5080380318110496e+17
cell_2,atoms_H3,20,293296334.40000004,9.300365753424659,1.79033e+17,1.7802580505802656e+17,1.7537495600692266e+17,1.8071672254793002e+17
cell_2,atoms_H3,20,315355396.8,9.99985403348554,2.01637e+17,2.0041477328594333e+17,1.9729704502720266e+17,2.0358176852429846e+17
cell_2,atoms_H3,20,316564696.8,10.038200684931507,2.01203e+17,1.9999499548306208e+17,1.9690372752592608e+17,2.0313479445432813e+17
cell_2,atoms_H3,20,6622551705.6,209.99973698630137,2652000000000.0,2643257540902.9697,2590193467056.2256,2697408713442.929
cell_2,atoms_H3,71,3153600.0,0.1,616536000000000.0,613744146910998.0,607607810880249.0,619942454857196.2
cell_2,atoms_H3,71,31536000.0,1.0,6018890000000000.0,5991620800605493.0,5931596390208705.0,6052252624185254.0
cell_2,atoms_H3,71,59927882.4,1.9003006849315067,1.9367e+16,1.9278711307032988e+16,1.907971700086495e+16,1.9479781049324396e+16
cell_2,atoms_H3,71,91453924.8,2.8999849315068493,3.35543e+16,3.340021706597061e+16,3.304251352937713e+16,3.3761792941754564e+16
cell_2,atoms_H3,71,119824207.2,3.799600684931507,5.8212e+16,5.794117139234096e+16,5.727564422598822e+16,5.861443180054788e+16
cell_2,atoms_H3,71,148226047.2,4.700217123287671,8.35883e+16,8.31942320520597e+16,8.218366943258298e+16,8.421722094569691e+16
cell_2,atoms_H3,71,176596329.6,5.599832876712329,1.08179e+17,1.0766271668145467e+17,1.0627598468446602e+17,1.0906754331795366e+17
cell_2,atoms_H3,71,204998169.6,6.500449315068493,1.32034e+17,1.3139358784552749e+17,1.2963466228321621e+17,1.331763790860398e+17
cell_2,atoms_H3,71,236524212.0,7.500133561643835,1.57729e+17,1.569525040884114e+17,1.547620656824576e+17,1.591739450555492e+17
cell_2,atoms_H3,71,264894494.4,8.399749315068494,1.87022e+17,1.8607901897075494e+17,1.8343043313765866e+17,1.8876584822287005e+17
cell_2,atoms_H3,71,293296334.40000004,9.300365753424659,2.24084e+17,2.2291902845078845e+17,2.195997080025581e+17,2.2628852149869232e+17
cell_2,atoms_H3,71,315355396.8,9.99985403348554,2.52377e+17,2.510455692361396e+17,2.471402091042174e+17,2.5501264266763085e+17
cell_2,atoms_H3,71,316564696.8,10.038200684931507,2.51834e+17,2.5048664129856067e+17,2.4661493777884714e+17,2.5441912819287254e+17
cell_2,atoms_H3,71,6622551705.6,209.99973698630137,3323970000000.0,3310875614851.6396,3244408936745.1084,3378703964493.618
