sample_id,split,FW_THICK_CM,PBLI_THICK_CM,SHIELD_THICK_CM,VV_THICK_CM,LI6_ENRICH_ATOM_FRAC,tbr,tbr_pred,ci_lower,ci_upper,pr_tbr_gt_1.05,pr_tbr_gt_1.10,pr_tbr_gt_1.15,pr_tbr_gt_1.20,pr_tbr_gt_1.25,pr_tbr_gt_1.30,pr_tbr_gt_1.35,pr_tbr_gt_1.40,pr_tbr_gt_1.45,pr_tbr_gt_1.50
52,calibration,3.407585173510807,31.33901849803164,17.02792454175472,12.23931071527979,0.4651089742143879,1.481035950256,1.484347538237934,1.4491633469859009,1.519531729489967,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9881103844606528,0.2775639967117112
53,train,2.311728341184724,69.77693704136803,22.515312507598217,17.182899295500537,0.3468686414500855,1.50975280161,1.509889882290916,1.474705691038883,1.5450740735429491,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6405444027414521
54,train,1.2289829926113158,45.89976011183749,39.60573298570779,27.03522753547952,0.8974975128248328,1.523072235897,1.5230705015293828,1.4878863102773496,1.558254692781416,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8278532305051868
55,train,4.139095136958533,44.5999198323168,49.47240628222888,24.38368794161474,0.579394106308655,1.448070764531,1.4483033939098433,1.41311920265781,1.4834875851618765,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47588965342412687,0.0
56,train,2.194563462312469,33.747720872073,31.89190984514061,20.779805769575184,0.3896037614034688,1.519901354263,1.5140115482327137,1.4788273569806805,1.5491957394847469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6991170996704944
57,calibration,3.956745578154993,34.8697698682725,21.492036761144423,18.687421971810657,0.6656824292997808,1.472205536031,1.4756098399468247,1.4404256486947915,1.510794031198858,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.863939585300896,0.1533931975519567
58,train,1.4176878057644695,71.42099765259088,12.103965236239706,26.26576327850078,0.4720323767470491,1.528162784496,1.5282399032813798,1.4930557120293466,1.563424094533413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9013152253392765
59,calibration,3.246657012542125,59.10487694785062,45.6091393614863,13.197572549593126,0.4428394395092963,1.48736200973,1.493437674737894,1.458253483485861,1.528621865989927,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.40674326979553943
60,train,4.128983867707246,48.85436000674068,35.765242094371175,21.08085827383707,0.3147698001673621,1.389323763366,1.3991044383385742,1.363920247086541,1.4342886295906074,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4872732379293509,0.0,0.0
61,train,2.747769252734088,77.26142985056626,26.990993217251216,22.9993627275428,0.7992649231539777,1.542864563755,1.5428220778482595,1.5076378865962263,1.5780062691002927,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
